location,current_speed,free_flow_speed,incident_count,temperature,wind_speed,weather_condition,congestion_level
Riyadh,68.0,72.0,0,40.92,5.16,clear,Low
Jeddah,81.0,81.0,0,32.95,10.35,clear,Low
Cairo,25.0,25.0,0,24.33,5.66,cloudy,Low
Johannesburg,13.0,18.0,0,16.65,3.6,partly cloudy,Medium
Cape Town,14.0,21.0,0,25.28,4.12,clear,Medium
Lagos,54.0,54.0,0,32.12,3.09,cloudy,Low
Nairobi,82.0,82.0,0,26.02,7.2,cloudy,Low
Mumbai,11.0,18.0,0,30.0,4.12,fog,Medium
New Delhi,23.0,24.0,1,33.07,4.63,fog,Low
Bangalore,20.0,26.0,0,30.56,2.57,partly cloudy,Medium
Hyderabad,20.0,28.0,0,33.23,4.63,fog,Medium
Chennai,24.0,24.0,0,27.37,4.12,mist,Low
Kolkata,23.0,23.0,0,30.96,5.14,fog,Low
Singapore,49.0,49.0,0,29.09,1.54,cloudy,Low
Bangkok,19.0,26.0,0,30.57,4.87,partly cloudy,Medium
Kuala Lumpur,82.0,82.0,0,25.6,1.54,partly cloudy,Low
Jakarta,29.0,30.0,1,27.35,2.06,partly cloudy,Low
Manila,38.0,38.0,0,29.35,2.57,cloudy,Low
Hanoi,13.0,24.0,0,26.98,4.52,cloudy,Medium
Taipei,12.0,16.0,0,25.92,4.12,cloudy,Medium
Hong Kong,14.0,28.0,0,27.62,3.58,clear,High
Sydney,23.0,23.0,0,17.09,2.57,cloudy,Low
Melbourne,14.0,20.0,0,15.54,4.63,clear,Medium
Auckland,12.0,12.0,0,11.35,2.57,clear,Low
Brisbane,16.0,21.0,0,17.06,3.09,rain,Medium
Perth,18.0,18.0,0,17.3,3.6,cloudy,Low
Adelaide,22.0,22.0,0,20.51,7.2,clear,Low
New York,16.0,28.0,0,19.04,3.6,cloudy,Medium
Los Angeles,28.0,28.0,0,12.95,3.09,cloudy,Low
Chicago,18.0,18.0,0,7.74,4.63,cloudy,Low
Houston,18.0,18.0,0,17.98,4.12,clear,Low
Phoenix,18.0,18.0,0,21.04,0.45,cloudy,Low
Philadelphia,0.0,0.0,1,20.87,4.63,cloudy,High
San Antonio,22.0,22.0,0,16.69,3.09,partly cloudy,Low
San Diego,15.0,15.0,0,12.2,3.6,cloudy,Low
Dallas,99.0,99.0,0,15.57,0.45,clear,Low
San Jose,27.0,27.0,0,7.19,0.0,cloudy,Low
Austin,15.0,15.0,0,16.78,1.79,clear,Low
Jacksonville,59.0,59.0,0,21.43,3.6,cloudy,Low
Fort Worth,12.0,12.0,0,15.44,0.0,clear,Low
Columbus,33.0,33.0,0,10.66,2.57,cloudy,Low
Charlotte,14.0,14.0,0,14.59,2.57,cloudy,Low
San Francisco,13.0,13.0,0,9.12,6.69,partly cloudy,Low
Indianapolis,19.0,19.0,0,8.44,7.2,cloudy,Low
Seattle,14.0,14.0,0,6.09,0.89,partly cloudy,Low
Denver,37.0,38.0,1,12.4,0.45,clear,Low
Washington,23.0,23.0,0,18.34,2.06,rain,Low
